Bin_Center,Final_Ratio,Final_Error
0.195,0.9621289762453494,0.002596494075337916
0.22499999999999998,0.9523806923185884,0.0027174455902338537
0.255,0.9390323014290842,0.0035927729172436124
0.28500000000000003,0.9297353743706152,0.003917287910927861
0.315,0.9209528672576675,0.004253674248396222
0.345,0.9201772647509465,0.004979512088708546
0.375,0.9263185656817435,0.006783422366527728
0.405,0.8901009545668576,0.008209429237723076
0.435,0.883593341289995,0.00842555950094029
0.46499999999999997,0.8852293826506422,0.008503165554258368
0.495,0.8929189936197386,0.008202518983306893
0.525,0.8801693305087746,0.00910267233315628
0.5549999999999999,0.8617797884057941,0.009012482675376339
0.585,0.8569075200785259,0.00940022772138811
0.615,0.8562960810390811,0.009835383956213646
0.645,0.8580158422592113,0.010148656043075622
0.675,0.8412083370361991,0.010922642663040353
0.705,0.8590843802655996,0.010578442844303317
0.735,0.8613538147032765,0.010305993524911305
0.765,0.861267767756446,0.01048902589021675
0.795,0.86600317893261,0.011600492857927311
0.825,0.8853199410463685,0.014240642007323993
